[[[0.07970261, 0.9967131, 0.014507302, 0.0], [-0.9877324, 0.08092829, -0.13354865, 0.0], [-0.13428374, -0.003685159, 0.99093616, 0.0], [0.035341848, -0.020236876, -0.42169583, 1.0000001]]
[[0.08176905, 0.9965009, 0.017305255, 0.0], [-0.9887377, 0.083291315, -0.12433935, 0.0], [-0.12534562, -0.0069432342, 0.9920889, 0.0], [0.03357751, -0.01986299, -0.4207265, 1.0]]
[[0.080726415, 0.99660295, 0.016298417, 0.0], [-0.98849136, 0.08214681, -0.12703164, 0.0], [-0.12793894, -0.005856042, 0.9917646, 0.0], [0.034141324, -0.020182056, -0.4212138, 1.0]]
[[0.08366692, 0.99624354, 0.02233227, 0.0], [-0.9888298, 0.085776746, -0.12189405, 0.0], [-0.12335172, -0.011884314, 0.9922918, 0.0], [0.033323728, -0.019621078, -0.42117554, 1.0]]
[[0.08443452, 0.9962429, 0.019257933, 0.0], [-0.98878723, 0.086160354, -0.12196893, 0.0], [-0.12316997, -0.008743598, 0.99234706, 0.0], [0.033050932, -0.01870472, -0.42118192, 1.0000001]]
[[0.08516869, 0.9963438, 0.006731161, 0.0], [-0.9886325, 0.08534577, -0.123779975, 0.0], [-0.12390192, 0.0038875437, 0.9922868, 0.0], [0.032828335, -0.017301977, -0.42111978, 1.0]]
[[0.087549634, 0.99615884, -0.0016462815, 0.0], [-0.9887979, 0.08670191, -0.12149594, 0.0], [-0.12088654, 0.012264767, 0.99259055, 0.0], [0.03211316, -0.016566448, -0.42110246, 1.0]]
[[0.09236046, 0.99568427, -0.009062767, 0.0], [-0.9881964, 0.09054113, -0.12357125, 0.0], [-0.12221737, 0.02036889, 0.9922941, 0.0], [0.031520598, -0.015015671, -0.42064703, 0.9999999]]
[[0.08593793, 0.99625516, 0.009510112, 0.0], [-0.9892751, 0.086459614, -0.117725246, 0.0], [-0.11810663, 0.0007089501, 0.9930008, 0.0], [0.030976275, -0.015488113, -0.42059153, 1.0]]
[[0.0729382, 0.99295735, 0.09335625, 0.0], [-0.99140483, 0.08237977, -0.101635836, 0.0], [-0.108610764, -0.085140675, 0.99043167, 0.0], [0.029812932, -0.01848291, -0.42245775, 1.0]]
[[0.06507103, 0.9918175, 0.10983618, 0.0], [-0.9921052, 0.0761264, -0.099659175, 0.0], [-0.107205145, -0.10248413, 0.9889409, 0.0], [0.02977335, -0.019043105, -0.42353505, 1.0]]
[[0.06849915, 0.9921308, 0.104806654, 0.0], [-0.99161696, 0.07924504, -0.10205978, 0.0], [-0.10956202, -0.09693703, 0.98924184, 0.0], [0.029738994, -0.01854953, -0.4235568, 1.0]]
[[0.077726334, 0.9939356, 0.077786215, 0.0], [-0.99101716, 0.08554303, -0.102796115, 0.0], [-0.10882677, -0.06909752, 0.99165636, 0.0], [0.029767234, -0.01647924, -0.42435533, 1.0]]
[[0.08379394, 0.99573624, 0.038571905, 0.0], [-0.98953027, 0.08771148, -0.11461293, 0.0], [-0.117507465, -0.028564204, 0.99266094, 0.0], [0.02997512, -0.012622663, -0.42105055, 0.9999999]]
[[0.07473812, 0.9971787, 0.006984944, 0.0], [-0.99099433, 0.075051405, -0.110891744, 0.0], [-0.11110312, 0.0013657953, 0.99380773, 0.0], [0.029784285, -0.010262972, -0.42049295, 1.0]]
[[0.08126299, 0.9965982, -0.0137342615, 0.0], [-0.9902708, 0.07916998, -0.11443817, 0.0], [-0.11296152, 0.022900224, 0.9933355, 0.0], [0.029828863, -0.009054568, -0.41999915, 1.0]]
[[0.09203256, 0.9950952, -0.03627089, 0.0], [-0.98973477, 0.0874156, -0.11306574, 0.0], [-0.1093405, 0.046304274, 0.99292535, 0.0], [0.029264769, -0.007339254, -0.4198957, 1.0000001]]
[[0.10931203, 0.9900379, -0.08874448, 0.0], [-0.98934096, 0.09972347, -0.10611154, 0.0], [-0.09620454, 0.09939782, 0.990386, 0.0], [0.028272122, -0.003995342, -0.4186308, 1.0]]
[[0.11642209, 0.98806834, -0.10083149, 0.0], [-0.98868144, 0.105621, -0.10655017, 0.0], [-0.09462889, 0.11209501, 0.9891814, 0.0], [0.028575547, -0.0025197852, -0.41893038, 1.0]]
[[0.112199396, 0.9884539, -0.1018337, 0.0], [-0.9892996, 0.10149786, -0.10480678, 0.0], [-0.09326077, 0.11250331, 0.9892651, 0.0], [0.028621553, -0.002438615, -0.41903242, 1.0]]
[[0.10328883, 0.99248743, -0.06557571, 0.0], [-0.9893058, 0.09568415, -0.110085286, 0.0], [-0.10298369, 0.076245, 0.9917567, 0.0], [0.028903387, -0.0042333985, -0.4196878, 1.0]]
