[[[0.030177016, 0.99938947, 0.017618429, 0.0], [-0.99860346, 0.030908663, -0.042848922, 0.0], [-0.043367352, -0.016300766, 0.99892616, 0.0], [0.022071358, -0.0029466434, -0.54481643, 1.0000001]]
[[0.022813162, 0.99832225, 0.053217012, 0.0], [-0.9984606, 0.025443565, -0.04928563, 0.0], [-0.050557, -0.052010745, 0.99736595, 0.0], [0.02225063, -0.0027031475, -0.54339254, 1.0]]
[[0.023606524, 0.9978294, 0.061472714, 0.0], [-0.99842256, 0.026664628, -0.049411617, 0.0], [-0.05094348, -0.060209293, 0.99688476, 0.0], [0.022072515, -0.0030179298, -0.54282236, 0.99999994]]
[[0.015039359, 0.9899632, 0.14052358, 0.0], [-0.9989268, 0.021033537, -0.041268658, 0.0], [-0.043810192, -0.1397521, 0.9892169, 0.0], [0.021129757, -0.006225513, -0.54321814, 1.0000001]]
[[0.010006083, 0.9879439, 0.15448898, 0.0], [-0.99888384, 0.017007718, -0.04406622, 0.0], [-0.046162494, -0.1538756, 0.98701125, 0.0], [0.021413252, -0.0072610993, -0.5428666, 1.0]]
[[-0.026395071, 0.966903, 0.2537761, 0.0], [-0.99904776, -0.016692197, -0.040311918, 0.0], [-0.034741633, -0.25459847, 0.9664227, 0.0], [0.02150853, -0.012272309, -0.5439358, 1.0]]
[[-0.026610253, 0.9644229, 0.26302132, 0.0], [-0.99908835, -0.01687132, -0.03921694, 0.0], [-0.033384204, -0.26382518, 0.96399254, 0.0], [0.021548785, -0.0128353145, -0.54355407, 1.0]]
[[-0.015651843, 0.96994334, 0.24282682, 0.0], [-0.99929583, -0.0068918965, -0.03688263, 0.0], [-0.03410046, -0.24323316, 0.9693681, 0.0], [0.020577107, -0.011653652, -0.5422968, 1.0]]
[[-0.011611355, 0.9723136, 0.23339137, 0.0], [-0.9993128, -0.0030669498, -0.03693938, 0.0], [-0.0352009, -0.23365995, 0.97168094, 0.0], [0.020159094, -0.010758674, -0.5416736, 1.0]]
[[0.004446773, 0.9873742, 0.15834218, 0.0], [-0.99930006, 0.010269206, -0.035972062, 0.0], [-0.03714393, -0.15807143, 0.9867288, 0.0], [0.017934103, -0.004872637, -0.5398929, 1.0000001]]
[[0.004592461, 0.9897472, 0.14275396, 0.0], [-0.9993447, 0.009667848, -0.03488008, 0.0], [-0.03590263, -0.14250022, 0.9891432, 0.0], [0.017377606, -0.0030654615, -0.539142, 1.0]]
[[0.01883507, 0.998245, 0.05613986, 0.0], [-0.99914396, 0.0208608, -0.035718676, 0.0], [-0.036827147, -0.05541905, 0.9977837, 0.0], [0.018144969, 0.0019607544, -0.53959906, 1.0]]
[[0.021457227, 0.9992364, 0.032651637, 0.0], [-0.9993068, 0.022429451, -0.02970659, 0.0], [-0.030416256, -0.031991586, 0.99902517, 0.0], [0.017936807, 0.0029748525, -0.5393815, 0.9999999]]
[[0.028967613, 0.9994438, -0.016520275, 0.0], [-0.99930894, 0.028570741, -0.02377382, 0.0], [-0.023288608, 0.01719754, 0.9995807, 0.0], [0.018154835, 0.005221116, -0.53995144, 1.0]]
[[0.032047734, 0.99913603, -0.026456768, 0.0], [-0.9991975, 0.03139086, -0.024881063, 0.0], [-0.024029087, 0.027232924, 0.9993401, 0.0], [0.018604014, 0.0058750305, -0.5400395, 1.0]]
[[0.042276353, 0.9990956, -0.004555336, 0.0], [-0.99910283, 0.04226412, -0.0027481716, 0.0], [-0.0025531603, 0.004667437, 0.9999858, 0.0], [0.01080137, 0.015834395, -0.53616077, 1.0]]
[[0.037685208, 0.99928916, -0.0011582498, 0.0], [-0.99928814, 0.03768304, -0.0018431918, 0.0], [-0.001798254, 0.0012268937, 0.9999975, 0.0], [0.009619378, 0.016492538, -0.5366369, 1.0]]
[[0.034256373, 0.99938494, 0.0075008576, 0.0], [-0.9991715, 0.034412187, -0.021734035, 0.0], [-0.021978835, -0.0067501157, 0.9997357, 0.0], [0.010382927, 0.015173682, -0.5387307, 1.0000001]]
[[0.032068465, 0.9994389, 0.009668339, 0.0], [-0.9993091, 0.032243095, -0.018482847, 0.0], [-0.018784203, -0.009068939, 0.99978244, 0.0], [0.01011093, 0.015714185, -0.5391488, 1.0]]
[[0.03323706, 0.9981909, 0.050101526, 0.0], [-0.9988591, 0.03489537, -0.03259601, 0.0], [-0.03428535, -0.048960973, 0.998212, 0.0], [0.014253704, 0.022187965, -0.5438071, 0.9999999]]
[[0.033948462, 0.99763715, 0.059728913, 0.0], [-0.9990283, 0.035555087, -0.026044412, 0.0], [-0.028106492, -0.058786713, 0.99787474, 0.0], [0.014176008, 0.014639674, -0.54423475, 1.0]]
[[0.021719582, 0.99781436, 0.06241081, 0.0], [-0.9979696, 0.025377067, -0.058421016, 0.0], [-0.059877098, -0.061015204, 0.9963394, 0.0], [0.022509672, 0.007223182, -0.5480337, 1.0000001]]
