[[[0.027243493, 0.99882233, 0.04014797, 0.0], [-0.9984472, 0.029141588, -0.04747645, 0.0], [-0.048590533, -0.038792208, 0.99806523, 0.0], [-0.00083493773, -0.001376576, -0.4031215, 1.0]]
[[0.02850977, 0.99887246, 0.037959423, 0.0], [-0.99813795, 0.030496404, -0.05282863, 0.0], [-0.05392671, -0.036382608, 0.99788195, 0.0], [0.0003919834, -0.0012882572, -0.40379512, 1.0]]
[[0.028584383, 0.9988571, 0.03830739, 0.0], [-0.99806756, 0.030635038, -0.0540596, 0.0], [-0.05517137, -0.036688104, 0.99780256, 0.0], [0.00041347434, -0.0010911396, -0.4038372, 1.0]]
[[0.027294872, 0.99901927, 0.034864783, 0.0], [-0.99696, 0.029751765, -0.07201224, 0.0], [-0.072978914, -0.03279323, 0.9967941, 0.0], [-0.0009312843, -0.001121472, -0.40363064, 1.0]]
[[0.02656878, 0.9990118, 0.03563239, 0.0], [-0.9964255, 0.02932569, -0.07922287, 0.0], [-0.08018947, -0.03340017, 0.99621993, 0.0], [-0.0013705307, -0.0012016383, -0.40366465, 1.0000001]]
[[0.022704344, 0.99876094, 0.044282243, 0.0], [-0.9900338, 0.028619671, -0.13789153, 0.0], [-0.13898808, -0.04071018, 0.989457, 0.0], [-0.004333161, -0.00093354116, -0.4067002, 1.0]]
[[0.022868812, 0.9987539, 0.044357713, 0.0], [-0.98861045, 0.029193603, -0.14763778, 0.0], [-0.14874879, -0.040476203, 0.98804617, 0.0], [-0.0047120466, -0.0009564167, -0.40745285, 1.0]]
[[0.022420187, 0.99910426, 0.035885528, 0.0], [-0.9759942, 0.02965147, -0.21576782, 0.0], [-0.21663865, -0.030186512, 0.975785, 0.0], [-0.007551686, -0.0005978161, -0.4107536, 1.0]]
[[0.023736294, 0.99906516, 0.03612942, 0.0], [-0.97377735, 0.031284556, -0.22534116, 0.0], [-0.22626084, -0.029833255, 0.9736096, 0.0], [-0.0080339275, -0.00027742717, -0.41145098, 1.0]]
[[0.030640563, 0.9993051, 0.021223482, 0.0], [-0.9603629, 0.035319034, -0.2765058, 0.0], [-0.2770633, -0.011909955, 0.9607778, 0.0], [-0.01107853, -3.1652764e-06, -0.41314727, 1.0]]
[[0.030716067, 0.9993295, 0.01992931, 0.0], [-0.95858324, 0.0351003, -0.28264204, 0.0], [-0.28315204, -0.01042224, 0.9590185, 0.0], [-0.011457241, -3.4752993e-05, -0.41373014, 1.0]]
[[0.036317945, 0.99915886, 0.019042242, 0.0], [-0.95096123, 0.040410418, -0.30665916, 0.0], [-0.30717075, -0.0069712065, 0.95162874, 0.0], [-0.011969689, 2.3338938e-05, -0.4153128, 0.99999994]]
[[0.03774563, 0.9991342, 0.017484179, 0.0], [-0.95035696, 0.041299842, -0.30840793, 0.0], [-0.30886307, -0.0049751634, 0.95109326, 0.0], [-0.011882462, 8.835098e-05, -0.41535878, 0.99999994]]
[[0.03407835, 0.99905396, 0.027022919, 0.0], [-0.9584692, 0.040330585, -0.28233, 0.0], [-0.28315264, -0.016279297, 0.9589367, 0.0], [-0.010446654, -0.000180962, -0.4119542, 1.0]]
[[0.034585208, 0.9989537, 0.02992515, 0.0], [-0.9624894, 0.041355565, -0.26814905, 0.0], [-0.26910603, -0.019528655, 0.96291256, 0.0], [-0.009637633, -0.00029727034, -0.41162172, 1.0000001]]
[[0.037942212, 0.99876124, 0.03219285, 0.0], [-0.9837531, 0.042990334, -0.1743033, 0.0], [-0.17547132, -0.025056366, 0.9841657, 0.0], [-0.0046453783, -0.00084778277, -0.40803862, 1.0]]
[[0.03851936, 0.9988069, 0.030018548, 0.0], [-0.9858605, 0.04288846, -0.16198574, 0.0], [-0.1630799, -0.023354521, 0.9863364, 0.0], [-0.003678455, -0.001190553, -0.40620244, 1.0]]
[[0.047800682, 0.9982117, 0.03589783, 0.0], [-0.9956721, 0.050485134, -0.07802838, 0.0], [-0.07970115, -0.032012653, 0.99630475, 0.0], [0.0006094461, -0.0005686145, -0.39980942, 1.0]]
